Grade,FallMean,FallSD,WinterMean,WinterSD,SpringMean,SpringSD
1,160.05,12.43,170.18,12.59,176.4,13.18
2,175.04,12.98,184.07,13.01,189.42,13.44
3,188.48,13.45,196.23,13.64,201.08,14.11
4,199.55,14.4,206.05,14.9,210.51,15.56
5,209.13,15.19,214.7,15.88,218.75,16.7
6,214.75,16.12,219.56,16.74,222.88,17.47
7,220.21,17.41,224.04,17.96,226.73,18.6
8,224.92,18.94,228.12,19.33,230.3,19.95
9,226.43,19.83,228.67,20.06,230.03,20.63
10,229.07,20.23,231.21,20.61,232.42,21.25
11,231.72,20.61,233.49,20.91,234.25,21.65
12,233.02,21.6,233.31,23.07,234.19,24.63
